Farm,Location,pH,Size,Season
FUD Research Plot 1,Dutse,6.2,2,Rainy Season
FUD Research Plot 2,Dutse,5.8,3,Rainy Season
FUD Research Plot 3,Dutse,7.1,1,Dry Season
Hadejia Fadama 1,Hadejia,6.5,8,Dry Season
Hadejia Fadama 2,Hadejia,6.8,5,Dry Season
Kano Farm 1,Kano,7.2,10,Dry Season
Kano Farm 2,Kano,6.9,7,Rainy Season
Jigawa Plot 1,Jigawa,5.5,4,Rainy Season
Jigawa Plot 2,Jigawa,5.2,3,Rainy Season
Katsina Farm 1,Katsina,7.8,6,Dry Season
Katsina Farm 2,Katsina,8.1,4,Dry Season
Kaduna Plot 1,Kaduna,6.0,5,Rainy Season
Kaduna Plot 2,Kaduna,5.7,8,Rainy Season
Borno Farm 1,Borno,7.5,12,Dry Season
Borno Farm 2,Borno,7.9,9,Dry Season
Niger Farm 1,Niger,6.3,6,Rainy Season
Niger Farm 2,Niger,6.7,4,Rainy Season
Ogun Plot 1,Ogun,5.6,3,Rainy Season
Rivers Plot 1,Rivers,4.8,2,Rainy Season
Lagos Farm 1,Lagos,6.1,1,Rainy Season
